Date : 2022-03-22 22:35:52
Directory : c:\Programy\Laragon\laragon\www\ftp
Total : 108 files,  36387 codes, 1609 comments, 1097 blanks, all 39093 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\Authenticate.php                                   | PHP        |         12 |          6 |          4 |         22 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\CheckForMaintenanceMode.php                        | PHP        |          8 |          6 |          4 |         18 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\EncryptCookies.php                                 | PHP        |          8 |          6 |          4 |         18 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\RedirectIfAuthenticated.php                        | PHP        |         15 |          8 |          5 |         28 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\TrimStrings.php                                    | PHP        |         10 |          5 |          4 |         19 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\TrustProxies.php                                   | PHP        |          9 |         10 |          5 |         24 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\VerifyCsrfToken.php                                | PHP        |          8 |          6 |          4 |         18 |
| c:\Programy\Laragon\laragon\www\ftp\app\Providers\AppServiceProvider.php                                   | PHP        |         12 |         12 |          5 |         29 |
| c:\Programy\Laragon\laragon\www\ftp\app\Providers\AuthServiceProvider.php                                  | PHP        |         13 |         12 |          6 |         31 |
| c:\Programy\Laragon\laragon\www\ftp\app\Providers\BroadcastServiceProvider.php                             | PHP        |         12 |          5 |          5 |         22 |
| c:\Programy\Laragon\laragon\www\ftp\app\Providers\EventServiceProvider.php                                 | PHP        |         18 |         11 |          6 |         35 |
| c:\Programy\Laragon\laragon\www\ftp\app\Providers\RouteServiceProvider.php                                 | PHP        |         31 |         38 |         12 |         81 |
| c:\Programy\Laragon\laragon\www\ftp\app\User.php                                                           | PHP        |         18 |         15 |          7 |         40 |
| c:\Programy\Laragon\laragon\www\ftp\bootstrap\app.php                                                      | PHP        |         17 |         30 |          9 |         56 |
| c:\Programy\Laragon\laragon\www\ftp\composer.json                                                          | JSON       |         65 |          0 |          1 |         66 |
| c:\Programy\Laragon\laragon\www\ftp\composer.lock                                                          | JSON       |      7,075 |          0 |          1 |      7,076 |
| c:\Programy\Laragon\laragon\www\ftp\config\app.php                                                         | PHP        |         82 |        120 |         33 |        235 |
| c:\Programy\Laragon\laragon\www\ftp\config\auth.php                                                        | PHP        |         33 |         70 |         15 |        118 |
| c:\Programy\Laragon\laragon\www\ftp\config\broadcasting.php                                                | PHP        |         26 |         22 |         12 |         60 |
| c:\Programy\Laragon\laragon\www\ftp\config\cache.php                                                       | PHP        |         52 |         34 |         18 |        104 |
| c:\Programy\Laragon\laragon\www\ftp\config\cors.php                                                        | PHP        |          3 |         29 |          3 |         35 |
| c:\Programy\Laragon\laragon\www\ftp\config\database.php                                                    | PHP        |         81 |         45 |         22 |        148 |
| c:\Programy\Laragon\laragon\www\ftp\config\filesystems.php                                                 | PHP        |         28 |         42 |         15 |         85 |
| c:\Programy\Laragon\laragon\www\ftp\config\hashing.php                                                     | PHP        |         12 |         32 |          9 |         53 |
| c:\Programy\Laragon\laragon\www\ftp\config\logging.php                                                     | PHP        |         64 |         24 |         17 |        105 |
| c:\Programy\Laragon\laragon\www\ftp\config\mail.php                                                        | PHP        |         38 |         47 |         16 |        101 |
| c:\Programy\Laragon\laragon\www\ftp\config\queue.php                                                       | PHP        |         42 |         32 |         15 |         89 |
| c:\Programy\Laragon\laragon\www\ftp\config\services.php                                                    | PHP        |         16 |         11 |          7 |         34 |
| c:\Programy\Laragon\laragon\www\ftp\config\session.php                                                     | PHP        |         22 |        145 |         33 |        200 |
| c:\Programy\Laragon\laragon\www\ftp\config\view.php                                                        | PHP        |         11 |         30 |          9 |         50 |
| c:\Programy\Laragon\laragon\www\ftp\database\factories\UserFactory.php                                     | PHP        |         13 |         11 |          5 |         29 |
| c:\Programy\Laragon\laragon\www\ftp\database\migrations\2014_10_12_000000_create_users_table.php           | PHP        |         23 |         10 |          4 |         37 |
| c:\Programy\Laragon\laragon\www\ftp\database\migrations\2014_10_12_100000_create_password_resets_table.php | PHP        |         19 |         10 |          4 |         33 |
| c:\Programy\Laragon\laragon\www\ftp\database\migrations\2019_08_19_000000_create_failed_jobs_table.php     | PHP        |         22 |         10 |          4 |         36 |
| c:\Programy\Laragon\laragon\www\ftp\database\migrations\2022_02_17_085804_files.php                        | PHP        |         24 |         10 |          4 |         38 |
| c:\Programy\Laragon\laragon\www\ftp\database\migrations\2022_03_16_110714_directories.php                  | PHP        |         23 |         10 |          4 |         37 |
| c:\Programy\Laragon\laragon\www\ftp\database\seeds\DatabaseSeeder.php                                      | PHP        |          8 |          6 |          3 |         17 |
| c:\Programy\Laragon\laragon\www\ftp\package-lock.json                                                      | JSON       |     23,935 |          0 |          1 |     23,936 |
| c:\Programy\Laragon\laragon\www\ftp\package.json                                                           | JSON       |         29 |          0 |          1 |         30 |
| c:\Programy\Laragon\laragon\www\ftp\phpunit.xml                                                            | XML        |         29 |          0 |          2 |         31 |
| c:\Programy\Laragon\laragon\www\ftp\public\css\app.css                                                     | CSS        |        588 |         24 |        115 |        727 |
| c:\Programy\Laragon\laragon\www\ftp\public\fonts\fontello.svg                                              | XML        |         27 |          0 |         16 |         43 |
| c:\Programy\Laragon\laragon\www\ftp\public\index.php                                                       | PHP        |         10 |         39 |         12 |         61 |
| c:\Programy\Laragon\laragon\www\ftp\public\js\app.js                                                       | JavaScript |        600 |         65 |        100 |        765 |
| c:\Programy\Laragon\laragon\www\ftp\public\mix-manifest.json                                               | JSON       |          4 |          0 |          1 |          5 |
| c:\Programy\Laragon\laragon\www\ftp\resources\js\app.js                                                    | JavaScript |          4 |          2 |          1 |          7 |
| c:\Programy\Laragon\laragon\www\ftp\resources\js\application.js                                            | JavaScript |         79 |          9 |         10 |         98 |
| c:\Programy\Laragon\laragon\www\ftp\resources\js\assets.js                                                 | JavaScript |        114 |         16 |         14 |        144 |
| c:\Programy\Laragon\laragon\www\ftp\resources\js\fileMenagment.js                                          | JavaScript |        200 |         19 |         15 |        234 |
| c:\Programy\Laragon\laragon\www\ftp\resources\js\upload.js                                                 | JavaScript |         97 |         13 |          7 |        117 |
| c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\auth.php                                             | PHP        |          5 |         10 |          5 |         20 |
| c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\pagination.php                                       | PHP        |          5 |         10 |          5 |         20 |
| c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\passwords.php                                        | PHP        |          8 |         10 |          5 |         23 |
| c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\validation.php                                       | PHP        |        113 |         30 |          9 |        152 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\app.scss                                                | SCSS       |         32 |          5 |          5 |         42 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\application.scss                                        | SCSS       |        252 |          7 |         36 |        295 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\assets.scss                                             | SCSS       |         68 |          0 |         11 |         79 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\config.json                                    | JSON       |        106 |          0 |          0 |        106 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\animation.css                              | CSS        |         77 |          3 |          6 |         86 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-codes.css                         | CSS        |         16 |          0 |          2 |         18 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-embedded.css                      | CSS        |         46 |         20 |         10 |         76 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-ie7-codes.css                     | CSS        |         16 |          0 |          2 |         18 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-ie7.css                           | CSS        |         22 |          3 |          4 |         29 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello.css                               | CSS        |         44 |         20 |          9 |         73 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\demo.html                                      | HTML       |        261 |          1 |         10 |        272 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\font\fontello.svg                              | XML        |         27 |          0 |         16 |         43 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\home.scss                                               | SCSS       |         50 |          0 |          7 |         57 |
| c:\Programy\Laragon\laragon\www\ftp\resources\sass\upload.scss                                             | SCSS       |        131 |          0 |         21 |        152 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\app\assets.blade.php                                   | PHP        |        169 |          0 |          4 |        173 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\app\index.blade.php                                    | PHP        |         84 |          0 |          2 |         86 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\app\layout.blade.php                                   | PHP        |         79 |          0 |         15 |         94 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\login.blade.php                                   | PHP        |         62 |          0 |         15 |         77 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\passwords\confirm.blade.php                       | PHP        |         41 |          0 |          9 |         50 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\passwords\email.blade.php                         | PHP        |         40 |          0 |          8 |         48 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\passwords\reset.blade.php                         | PHP        |         53 |          0 |         13 |         66 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\register.blade.php                                | PHP        |         63 |          0 |         15 |         78 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\auth\verify.blade.php                                  | PHP        |         25 |          0 |          4 |         29 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\home\index.blade.php                                   | PHP        |         16 |          0 |          4 |         20 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\home\layout.blade.php                                  | PHP        |         32 |          0 |          9 |         41 |
| c:\Programy\Laragon\laragon\www\ftp\resources\views\layouts\app.blade.php                                  | PHP        |         34 |          0 |          9 |         43 |
| c:\Programy\Laragon\laragon\www\ftp\routes\api.php                                                         | PHP        |          6 |         10 |          4 |         20 |
| c:\Programy\Laragon\laragon\www\ftp\routes\channels.php                                                    | PHP        |          5 |         10 |          4 |         19 |
| c:\Programy\Laragon\laragon\www\ftp\routes\console.php                                                     | PHP        |          6 |         10 |          4 |         20 |
| c:\Programy\Laragon\laragon\www\ftp\routes\web.php                                                         | PHP        |         21 |         11 |          9 |         41 |
| c:\Programy\Laragon\laragon\www\ftp\server.php                                                             | PHP        |          8 |          9 |          5 |         22 |
| c:\Programy\Laragon\laragon\www\ftp\tests\CreatesApplication.php                                           | PHP        |         12 |          5 |          6 |         23 |
| c:\Programy\Laragon\laragon\www\ftp\tests\Feature\ExampleTest.php                                          | PHP        |         12 |          5 |          5 |         22 |
| c:\Programy\Laragon\laragon\www\ftp\tests\TestCase.php                                                     | PHP        |          7 |          0 |          4 |         11 |
| c:\Programy\Laragon\laragon\www\ftp\tests\Unit\ExampleTest.php                                             | PHP        |         10 |          5 |          4 |         19 |
| c:\Programy\Laragon\laragon\www\ftp\vendor\facade\ignition\resources\compiled\ignition.js                  | JavaScript |          5 |         27 |          0 |         32 |
| c:\Programy\Laragon\laragon\www\ftp\vendor\facade\ignition\resources\compiled\index.html                   | HTML       |         12 |          0 |          1 |         13 |
| c:\Programy\Laragon\laragon\www\ftp\webpack.mix.js                                                         | JavaScript |          3 |         10 |          2 |         15 |
| Total                                                                                                      |            |     36,387 |      1,609 |      1,097 |     39,093 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
